customer_id,account_balance,transaction_amount,reported_amount,currency,country,transaction_date,risk_score,Account_type
2458087591,508883.75,8920.74,8920.74,AUD,HM,7/10/2022,8,VL
9091409124,423479.81,7473,7473,AUD,HM,7/22/2020,5,HL
7078584501,906532.51,8588.67,8588.67,AUD,CX,8/6/2021,8,OD
5986830634,883229.01,7607.49,7607.49,AUD,AU,5/1/2022,8,SB
3842287749,232315.18,8176.42,8176.42,AUD,NF,7/29/2021,4,OD
3920294178,353004.89,8374.53,8374.53,AUD,CC,6/1/2021,4,OD
5352925967,266592.59,9168.05,9168.05,AUD,CX,8/19/2020,8,OD
4632857739,591100.99,6271.94,6291.94,AUD,CC,7/13/2022,8,OD
5020323117,338251.13,8606.3,8606.3,AUD,CX,7/8/2021,8,HL
8613577984,719202.04,7343.69,7343.69,AUD,CX,5/29/2020,5,VL
6011187879,105238.79,7659.14,7659.14,AUD,TV,2/17/2021,6,OD
6088777214,676571.46,7850.28,7850.28,AUD,CX,8/5/2021,5,OD
8127925419,87690.34,7732.58,7732.58,AUD,HM,11/29/2020,6,OD
3445720814,129858.32,7470.04,7470.04,AUD,AU,9/21/2021,8,CU
9401538409,100951.35,8732.12,8782.12,AUD,HM,6/16/2020,7,OD
3692734672,566253.21,7473.39,7473.39,AUD,KI,5/4/2022,7,OD
8289334486,945167.06,8019.97,8019.97,AUD,TV,2/23/2021,6,VL
5767389582,130554.78,8423.37,8423.37,AUD,CX,7/4/2021,4,CU
2524741232,302541.9,6250.25,6250.25,AUD,NR,6/28/2020,5,CU
3319096370,396164.23,8788.66,8788.66,AUD,TV,4/24/2020,7,SB
8812664240,205991.45,7303.47,7303.47,AUD,KI,10/4/2020,7,HL
7095781087,925291.53,8283.27,8283.27,AUD,HM,6/19/2021,8,VL
6478730993,218402.37,8557.5,8557.5,AUD,NF,1/29/2021,7,CU
8194703864,368404.91,8722.97,8722.97,AUD,TV,1/10/2021,6,CU
6053369085,193732.11,8992.2,8992.2,AUD,CC,8/28/2022,7,HL
6595899092,806235.9,7626.28,7626.28,AUD,AU,3/31/2021,7,CU
5919313501,239099.25,8018.38,8018.38,AUD,KI,4/7/2020,6,SB
6630792859,475573.03,8695.29,8695.29,AUD,NR,6/21/2020,5,HL
5374053983,110830.37,6693.24,6693.24,AUD,CC,2/17/2022,8,OD
3007632044,195805.52,8868.74,8868.74,AUD,NF,11/14/2021,6,VL
3637997004,344765.13,7503.25,7503.25,AUD,TV,3/12/2020,7,CU
3069875462,619600.72,9216.28,9216.28,AUD,NR,8/19/2022,7,HL
2969466641,527694.84,7512.66,7512.66,AUD,HM,12/14/2021,8,VL
5351342532,150613.91,6131.85,6131.85,AUD,NR,11/13/2020,8,VL
7031586571,683949.57,7425.68,7425.68,AUD,HM,1/15/2022,8,OD
4802842958,469511.42,6812.67,6812.67,AUD,CX,1/11/2022,5,CU
9405115274,199426.34,9083.56,9083.56,AUD,NF,9/27/2021,5,SB
7520157663,337950.41,8424.33,8424.33,AUD,NR,5/15/2021,7,CU
7690979196,294452.7,6225.07,6225.07,AUD,TV,10/22/2021,7,SB
5370776247,781718.91,6961.88,6961.88,AUD,CC,10/10/2020,7,OD
9382564369,661559.22,8424.38,8424.38,AUD,NF,9/18/2021,8,HL
7913037758,341369.53,6250.67,6250.67,AUD,NF,5/3/2022,6,CU
2734089325,421704.98,8034.4,8034.4,AUD,CC,6/8/2022,4,OD
5607073379,489099.58,8758.13,8758.13,AUD,CX,10/21/2022,5,OD
7907743300,730216.09,7834.31,7834.31,AUD,KI,12/7/2020,7,HL
8014362938,629207.02,7001.71,7001.71,AUD,TV,8/3/2021,5,OD
4258482308,414319.13,6190.14,6190.14,AUD,CX,2/4/2022,8,CU
7810539249,708455.91,5801.58,5801.58,AUD,AU,10/30/2020,4,CU
8087918602,337870.18,8135.3,8135.3,AUD,CC,10/30/2020,8,SB
6572363415,552727.9,6640.08,6640.08,AUD,HM,4/12/2022,6,OD
5946716599,810006.16,8485.38,8485.38,AUD,AU,3/9/2020,7,SB
5574895094,224397.43,6723.31,6723.31,AUD,TV,8/11/2020,7,OD
8551841693,109992.13,6248.17,6248.17,AUD,NR,12/18/2020,5,OD
2619680936,507307.07,8624.49,8624.49,AUD,NR,10/2/2022,6,CU
9150179719,211147.88,6056.68,6056.68,AUD,HM,11/30/2020,4,HL
2778203086,412044.4,9043.5,9043.5,AUD,NR,4/5/2021,5,CU
5048839001,842284.84,7849.6,7849.6,AUD,NF,6/15/2020,6,CU
6804242679,391656.03,7516.63,7516.63,AUD,TV,10/1/2021,8,VL
8136400045,911960.57,8248.97,8248.97,AUD,HM,12/11/2020,6,VL
5599274562,519077.5,8672.21,8672.21,AUD,CC,4/19/2020,8,HL
6149651655,880541.82,8576.79,8576.79,AUD,CC,11/6/2020,7,SB
6176762155,806963.84,8880.74,8880.74,AUD,NR,2/6/2022,7,CU
6500464090,138278.92,8822.89,8822.89,AUD,NR,3/7/2020,5,OD
5919425159,848242.6,8719.2,8719.2,AUD,AU,6/2/2020,6,VL
5188676886,657430.58,8430.99,8430.99,AUD,CC,5/14/2020,8,HL
6880930246,200165.33,8437.52,8437.52,AUD,AU,1/22/2021,8,VL
9084371676,490423.58,9123.57,9123.57,AUD,CX,4/3/2021,7,VL
9101501630,511580.19,9169.88,9169.88,AUD,NF,10/2/2022,8,SB
5745879752,386093.62,6927.39,6927.39,AUD,CC,2/5/2021,4,SB
7510840190,927007.46,6736,6736,AUD,NF,6/3/2021,4,VL
5277784369,299480.39,9103.35,9103.35,AUD,NF,6/14/2022,6,HL
9040021446,427664.3,7410.49,7410.49,AUD,CX,11/28/2020,5,SB
2474937846,511208.15,7736.37,7736.37,AUD,CX,12/30/2020,5,HL
7831482127,529389.21,6908.96,6908.96,AUD,NR,12/25/2021,5,OD
8025308380,675383.08,6412.58,6412.58,AUD,KI,5/29/2021,7,VL
5527788788,681034.89,7995.77,7995.77,AUD,CC,9/12/2020,6,CU
5956962852,576089.19,6873.15,6873.15,AUD,AU,3/18/2021,8,SB
8430312103,245196.84,8302.88,8302.88,AUD,NR,5/2/2022,4,HL
6357607918,860093.75,7753.02,7753.02,AUD,AU,3/28/2020,7,CU
2559249204,661418.64,8652.48,8652.48,AUD,NR,7/22/2022,8,OD
8784264566,311171.6,8480.82,8480.82,AUD,HM,2/4/2022,8,VL
5587541601,762236.53,7746.85,7746.85,AUD,TV,8/23/2020,7,CU
8614902054,940457.06,6117.71,6117.71,AUD,NR,2/11/2022,4,CU
5822547695,113204.43,7759.01,7759.01,AUD,AU,4/23/2021,6,SB
4575633611,885552.32,6611.42,6611.42,AUD,AU,7/28/2021,4,CU
2968847149,276971.84,8031.77,8031.77,AUD,CC,10/27/2020,6,VL
4610687083,727752.19,6640.05,6640.05,AUD,KI,9/2/2022,6,OD
8446416316,883492.99,5907.83,5907.83,AUD,NR,7/8/2021,7,VL
6473263049,552259.45,5865.13,5865.13,AUD,NR,3/16/2022,7,OD
7792893272,885604.43,6230.92,6230.92,AUD,NF,12/10/2020,8,VL
9369860410,494427.32,7024.93,7024.93,AUD,CC,1/18/2022,6,SB
6742987267,356964.85,8779.12,8779.12,AUD,KI,5/16/2020,7,HL
5510029171,397728.79,6640.09,6640.09,AUD,CX,5/15/2022,6,VL
4805108337,568864.84,8892.8,8892.8,AUD,NR,11/27/2021,4,VL
8397383998,517068.27,6943.41,6943.41,AUD,KI,7/18/2020,7,VL
9107345071,343149.99,9173.91,9173.91,AUD,KI,6/28/2022,4,OD
9120194680,604546.26,7567.25,7567.25,AUD,CX,5/30/2022,4,CU
3926927556,425711.18,7053.99,7053.99,AUD,HM,11/10/2020,5,OD
2364079986,646198.97,6239.64,6239.64,AUD,TV,8/26/2020,4,HL
8985941421,673129.23,6857.05,6857.05,AUD,NF,3/9/2020,7,OD
7264774383,293961.38,9206.89,9206.89,AUD,TV,5/4/2020,4,VL
3101095901,859052.47,8989.14,8989.14,AUD,HM,9/25/2020,4,OD
5715082258,807310.08,9244.94,9244.94,AUD,KI,2/10/2021,5,HL
6923501511,578826.77,9035.93,9035.93,AUD,CC,5/31/2022,5,HL
6078710845,923068.26,7725.18,7725.18,AUD,NF,10/20/2021,4,OD
7919610734,869160.59,8287.17,8287.17,AUD,NR,10/21/2020,7,CU
2615030137,221409.82,6843.65,6843.65,AUD,NR,11/10/2020,6,HL
5961104310,162786.22,7152.47,7152.47,AUD,TV,4/6/2022,7,CU
4935919662,421809.24,8832.87,8832.87,AUD,NF,9/22/2020,5,SB
8033001831,269997.45,6316.91,6316.91,AUD,TV,7/12/2020,5,CU
7027392714,372401.43,8604.36,8604.36,AUD,NF,11/13/2020,6,CU
5009930687,826777.7,7285.48,7285.48,AUD,CX,4/19/2022,5,HL
4847208081,411294.77,8705.4,8705.4,AUD,HM,5/16/2021,5,VL
7646457250,232864.4,6352.85,6352.85,AUD,KI,11/14/2020,8,VL
7155273176,788902.68,6666.07,6666.07,AUD,NR,8/1/2020,7,VL
2747533703,302336.34,8018.24,8018.24,AUD,CX,6/25/2021,4,HL
8152429135,608650.98,7693.92,7693.92,AUD,NR,12/13/2021,5,VL
6186544691,163833.51,8915.92,8915.92,AUD,HM,10/26/2021,6,OD
